user_id,username,profile_url,join_date,role,gender,country_of_birth,location,mbti_type,enneagram_type,socionics,occupation,replies,discussions_created,reaction_score,points,media_count,showcase_count,scraped_at
23051,Yardiff Bey,https://www.personalitycafe.com/members/yardiff-bey.23051/,2011-06-05T18:50:04-0400,Registered,Male,New-Zealand,,ISTJ,Type 9w1,Unknown,,6260,142,18270,0,277,,2025-12-03T17:26:35Z
571337,Love&sunshine,https://www.personalitycafe.com/members/love-sunshine.571337/,2021-12-16T22:51:16-0500,Registered,,,,,,,,11,3,1,3,,,2025-12-03T17:26:41Z
8534,niss,https://www.personalitycafe.com/members/niss.8534/,2010-04-25T17:11:00-0400,MOTM May 2011,,,,,,,,13913,216,34731,113,0,0,2025-12-03T17:26:49Z
13042,Ryan,https://www.personalitycafe.com/members/ryan.13042/,2010-09-05T23:19:33-0400,Registered,Male,United-States,Florida,,Type 5,EIE,Bookkeeper,933,17,2430,0,22,,2025-12-03T17:26:56Z
14531,General Lee,https://www.personalitycafe.com/members/general-lee.14531/,2010-10-22T19:43:02-0400,Registered,,,,,,,,4560,46,4840,113,0,0,2025-12-03T17:27:05Z
23607,NaughyChimp,https://www.personalitycafe.com/members/naughychimp.23607/,2011-06-20T15:42:40-0400,Registered,Female,,"In the trees, above your head.",,Unknown,,I'm a chimp and I'm naughty.  It's who I am and what I do.,1813,93,3513,113,,,2025-12-03T17:27:11Z
25090,Mendi the ISFJ,https://www.personalitycafe.com/members/mendi-the-isfj.25090/,2011-07-27T20:07:47-0400,Registered,Female,United-States,,,Type 6w7,Unknown,,4242,368,3848,0,,,2025-12-03T17:27:17Z
17693,Stephen,https://www.personalitycafe.com/members/stephen.17693/,2011-01-17T13:04:00-0500,THE IRON GIANT,Male,United-States,New York,ISTJ,Type 6w7,Unknown,,11147,502,22279,113,,,2025-12-03T17:27:23Z
18192,MBTI Enthusiast,https://www.personalitycafe.com/members/mbti-enthusiast.18192/,2011-01-29T13:31:00-0500,MOTM Feb 2012,,,GMT-8:00,,,,,7008,233,26892,113,1,,2025-12-03T17:27:29Z
5560,Memphisto,https://www.personalitycafe.com/members/memphisto.5560/,2010-01-27T13:58:00-0500,Registered,Female,United-States,Southern California,,Type 9,,,1619,18,5485,0,33,,2025-12-03T17:27:35Z
24101,fresh,https://www.personalitycafe.com/members/fresh.24101/,2011-07-03T18:18:00-0400,Registered,Female,,,,Unknown,,,810,18,1744,93,,,2025-12-03T17:27:41Z
20611,tnredhead,https://www.personalitycafe.com/members/tnredhead.20611/,2011-04-05T03:34:16-0400,Registered,Female,United-States,Here,,Type 6,,Cynic,563,14,2024,0,,,2025-12-03T17:27:47Z
5535,SassyPJs24,https://www.personalitycafe.com/members/sassypjs24.5535/,2010-01-26T19:33:38-0500,Registered,Female,United-States,los angeles,,Type 1,,student / social work,343,19,901,0,,,2025-12-03T17:27:53Z
23635,Spiny,https://www.personalitycafe.com/members/spiny.23635/,2011-06-21T04:15:29-0400,Registered,Male,Australia,Australia,,Type 9,,Student,503,2,1600,0,,,2025-12-03T17:27:59Z
8609,Sela,https://www.personalitycafe.com/members/sela.8609/,2010-04-27T14:58:11-0400,Registered,Female,United-States,USA,ISTJ,Type 1w2,,Administrative Assistant,9543,24,26484,113,,,2025-12-03T17:28:05Z
